"","bird","site","list_n","release_cond","partner_list_n","Pair_ID","partner","treatment","date","time","add_train","dt1","HEI","split_any","distance_training_tracks_average","distance_training_tracks_closest","HEI_analysis","Distance_average_analysis","Distance_closest_analysis","treatment_addtrain"
"119","18-C71","SH",119,"pair",183,"O12","19-C57","TR",2024-07-04,"16:59:04",TRUE,2024-07-04 16:59:04,0.922932523465404,FALSE,226.153592715828,165.266594329638,0.922354062593612,225.066496145395,162.785563564126,"ATR"
"120","18-C71","SH",120,"pair",184,"O12","19-C57","TR",2024-07-08,"09:11:05",TRUE,2024-07-08 09:11:05,0.722054570235748,FALSE,282.321077614597,43.8573886190659,0.723573586282854,278.541324140639,43.2581309988543,"ATR"
"121","18-C71","SH",121,"solo",NA,"O12",",","TR",2024-06-16,"13:56:05",TRUE,2024-06-16 13:56:05,0.708510104821131,NA,156.204576224011,156.204576224011,0.708510104821131,156.204576224011,156.204576224011,"TR"
"122","18-C71","SH",122,"solo",NA,"O12",",","TR",2024-07-05,"10:57:11",TRUE,2024-07-05 10:57:11,0.908094015951319,NA,210.845233229929,57.5555274747208,0.908094015951319,210.845233229929,57.5555274747208,"ATR"
"124","19-C41","LH",124,"pair",276,"O10","20-C17","TR",2024-06-08,"11:46:59",FALSE,2024-06-08 11:46:59,0.856406402834155,FALSE,NA,NA,0.862935561674166,NA,NA,"TR"
"125","19-C41","LH",125,"pair",277,"O10","20-C17","TR",2024-06-09,"14:06:37",FALSE,2024-06-09 14:06:37,0.922929802496807,FALSE,169.31326982643,169.31326982643,0.923369019623536,167.818437573316,167.818437573316,"TR"
"126","19-C41","LH",126,"pair",278,"O10","20-C17","TR",2024-06-17,"09:40:06",FALSE,2024-06-17 09:40:06,0.866140445060545,FALSE,550.707932045219,470.706964913724,0.865033440760093,551.043573575451,471.514031114616,"TR"
"127","19-C41","LH",127,"solo",NA,"O10",",","CM",2024-08-16,"09:52:04",FALSE,2024-08-16 09:52:04,0.821177330543033,NA,707.593431087378,338.925206947261,0.821177330543033,707.593431087378,338.925206947261,"CM_N"
"128","19-C41","LH",128,"solo",NA,"O10",",","TR",2024-06-10,"17:49:04",FALSE,2024-06-10 17:49:04,0.948158411374688,NA,151.319950662641,95.6172426722535,0.948158411374688,151.319950662641,95.6172426722535,"TR"
"129","19-C41","LH",129,"solo",NA,"O10",",","TR",2024-06-11,"14:17:04",FALSE,2024-06-11 14:17:04,0.902261666434242,NA,205.210875976717,125.341174354809,0.902261666434242,205.210875976717,125.341174354809,"TR"
"130","19-C41","SH",130,"pair",282,"O10","20-C17","CM",2024-08-17,"09:40:05",TRUE,2024-08-17 09:40:05,0.762035113640232,FALSE,188.63117136362,74.8482144795956,0.760066968667635,189.759481506325,76.869868251209,"CM_A"
"131","19-C41","SH",131,"pair",283,"O10","20-C17","TR",2024-06-09,"10:14:13",TRUE,2024-06-09 10:14:13,0.865362477268562,FALSE,NA,NA,0.864997767670293,NA,NA,"TR"
"132","19-C41","SH",132,"pair",284,"O10","20-C17","TR",2024-06-17,"13:47:12",TRUE,2024-06-17 13:47:12,0.892332471123235,FALSE,148.496124407425,148.496124407425,0.890807989590305,148.789014761083,148.789014761083,"TR"
"133","19-C41","SH",133,"pair",285,"O10","20-C17","TR",2024-07-04,"09:19:07",TRUE,2024-07-04 09:19:07,0.935742789100789,FALSE,102.963994251635,44.2365801617842,0.935104894062572,103.323446705165,44.5549604942108,"ATR"
"134","19-C41","SH",134,"pair",286,"O10","20-C17","TR",2024-07-04,"16:53:04",TRUE,2024-07-04 16:53:04,0.947013851120836,FALSE,106.833809869071,72.6854931792459,0.9476622190131,106.423532147195,72.3224566057225,"ATR"
